date,price
2019/4/29,10932
2019/4/30,10952
2019/5/2,10978
2019/5/3,11092
2019/5/6,10857
2019/5/7,10970
2019/5/8,10893
2019/5/9,10746
2019/5/10,10745
2019/5/13,10576
2019/5/14,10532
2019/5/15,10579
2019/5/16,10488
2019/5/17,10411
2019/5/20,10433
2019/5/21,10487
2019/5/22,10480
2019/5/23,10310
2019/5/24,10344
2019/5/27,10333
2019/5/28,10340
2019/5/29,10291
2019/5/30,10367
2019/5/31,10455
2019/6/3,10471
2019/6/4,10416
2019/6/5,10456
2019/6/6,10360
2019/6/10,10539
2019/6/11,10592
2019/6/12,10592
2019/6/13,10529
2019/6/14,10529
2019/6/17,10545
2019/6/18,10553
2019/6/19,10770
2019/6/20,10591
2019/6/21,10585
2019/6/24,10586
2019/6/25,10608
2019/6/26,10508
